,Raga,Bigrams,Bigram Count,Trigrams,Trigram Count
0,Bilawal Dheerashankarabharanam 1.mp3,"[('F', 'E'), ('E', 'C'), ('C', 'B'), ('C', 'A'), ('G', 'E')]","[36, 24, 17, 15, 15]","[('F', 'E', 'C'), ('E', 'F', 'E'), ('E', 'C', 'A'), ('C', 'A', 'G'), ('C', 'B', 'D')]","[20, 14, 10, 7, 7]"
1,Bilawal Dheerashankarabharanam 2.mp3,"[('E', 'F'), ('C', 'E'), ('F', 'E'), ('F', 'C'), ('G', 'E')]","[29, 20, 20, 19, 18]","[('E', 'F', 'E'), ('C', 'E', 'F'), ('E', 'F', 'G'), ('E', 'G', 'F'), ('F', 'E', 'F')]","[11, 11, 9, 8, 7]"
2,Bilawal Dheerashankarabharanam 2.mp3,"[('G', 'C'), ('C', 'G'), ('C', 'E'), ('E', 'C'), ('D', 'C')]","[26, 22, 18, 15, 11]","[('C', 'G', 'C'), ('E', 'G', 'C'), ('C', 'D', 'C'), ('G', 'C', 'G'), ('C', 'G', 'E')]","[8, 7, 6, 6, 6]"
3,Bilawal Dheerashankarabharanam 2.mp3,"[('G', 'F'), ('G', 'E'), ('F', 'G'), ('E', 'F'), ('F', 'E')]","[20, 17, 17, 17, 17]","[('F', 'G', 'F'), ('G', 'F', 'E'), ('B', 'G', 'B'), ('G', 'E', 'F'), ('C', 'A', 'G')]","[10, 10, 7, 7, 7]"
4,Bilawal Dheerashankarabharanam 3.mp3,"[('G', 'C'), ('E', 'G'), ('G', 'E'), ('C', 'G'), ('C', 'E')]","[27, 26, 25, 24, 21]","[('E', 'G', 'C'), ('G', 'E', 'G'), ('G', 'C', 'G'), ('C', 'G', 'E'), ('C', 'E', 'G')]","[12, 11, 11, 10, 9]"
5,Bilawal Dheerashankarabharanam 4.mp3,"[('E', 'C'), ('G', 'C'), ('F', 'E'), ('C', 'E'), ('C', 'G')]","[21, 18, 18, 17, 17]","[('E', 'C', 'E'), ('C', 'G', 'C'), ('G', 'C', 'G'), ('C', 'B', 'C'), ('B', 'C', 'B')]","[10, 9, 8, 8, 7]"
6,Khamaj Harikambhoji 1.mp3,"[('F', 'E'), ('A#', 'A'), ('E', 'F'), ('D', 'G'), ('G', 'E')]","[23, 20, 18, 14, 14]","[('F', 'E', 'F'), ('E', 'F', 'E'), ('A#', 'A', 'D'), ('A', 'F', 'E'), ('G', 'E', 'A')]","[8, 7, 6, 6, 6]"
7,Khamaj Harikambhoji 1.mp3,"[('A#', 'A'), ('F', 'E'), ('E', 'F'), ('A', 'G'), ('A', 'F')]","[23, 22, 17, 15, 14]","[('A#', 'A', 'G'), ('B', 'A#', 'A'), ('A', 'F', 'E'), ('D', 'F', 'E'), ('F', 'E', 'G')]","[11, 8, 8, 5, 5]"
8,Khamaj Harikambhoji 1.mp3,"[('A#', 'A'), ('E', 'G'), ('B', 'F'), ('G', 'F'), ('G', 'E')]","[11, 8, 6, 6, 5]","[('A', 'B', 'F'), ('A#', 'A', 'B'), ('F', 'D#', 'E'), ('A#', 'A', 'D'), ('F', 'A#', 'A')]","[3, 3, 3, 3, 3]"
9,Khamaj Harikambhoji 2.mp3,"[('B', 'C'), ('E', 'F'), ('C', 'B'), ('C', 'E'), ('C', 'A')]","[22, 13, 13, 12, 11]","[('C', 'B', 'C'), ('B', 'C', 'B'), ('B', 'C', 'A#'), ('E', 'C', 'E'), ('C', 'E', 'F')]","[11, 8, 5, 5, 5]"
